user_id,nickname,user_real_nickname,start_date,sum_reply,sum_son_reply,sum_emotion,recent_n_reply,recent_n_deleted,recent_n_emotion,recent_rate_emotion,recent_rate_self_delete,total_reply,heavy
NXIM,myls****,mylse1028,2006-08-25,"1,462",311,11356,9,0,23,56%,0%,1773,0.0
2Mh8r,chun****,뭉치,2006-04-21,"1,686",118,15530,76,22,93,49%,29%,1804,0.0
81WDL,hoeu****,쿠쿠쿠리,2016-04-10,3,0,525,0,0,0,0%,0%,3,0.0
vHmK,livi****,unseen,2017-08-27,"2,669",75,25747,35,17,104,85%,49%,2744,0.0
2lvoK,inyj****,연짱버디,2006-11-03,"1,756",110,8982,62,0,"1,087",91%,0%,1866,0.0
18thg,enee****,북극성으로의 항해,2006-08-01,712,609,3858,8,1,4,40%,13%,1321,0.0
2kcm2,kxor****,우리,2006-06-08,"5,691",862,39261,98,22,546,77%,22%,6553,0.0
2ICE4,hl1v****,hl1,2013-08-23,169,3,6288,0,0,0,0%,0%,172,0.0
7MwLf,trei****,온 세상을,2015-12-25,"2,327",441,9192,150,0,"1,025",87%,0%,2768,0.0
2KTSG,luck****,raw,2006-04-11,"2,150","1,494",16259,171,97,187,69%,57%,3644,0.0
1G3KH,xeno****,반달곰,2012-08-12,"2,360",549,25167,29,0,71,87%,0%,2909,0.0
2dM5J,wtca****,wtc,2014-10-11,2,3,27,0,0,0,0%,0%,5,0.0
1XZfC,smch****,무사,2006-04-17,"14,059",60,114126,11,0,16,76%,0%,14119,1.0
1pPuB,symh****,sym,2012-07-31,"1,463",73,6853,57,0,135,62%,0%,1536,0.0
1ACjP,uni1****,뜨거운시케,2006-06-14,226,19,724,6,0,21,95%,0%,245,0.0
1W8jb,musa****,musanlim,2015-06-24,"2,462",1,8599,116,0,360,70%,0%,2463,0.0
1Ba8X,bdh4****,bdh,2007-07-02,"3,362",72,23390,14,0,5,63%,0%,3434,0.0
2JWrG,ahn4****,하루,2012-10-19,237,0,2332,6,0,3,75%,0%,237,0.0
1oLly,sm20****,sm20050,2007-07-16,"8,280",540,49386,124,0,461,82%,0%,8820,0.0
1yUoM,hlig****,사차원,2006-04-08,284,17,1607,145,1,526,61%,1%,301,0.0
42Kyi,okhe****,okh,2010-05-08,"8,679","1,163",64545,32,0,46,65%,0%,9842,1.0
XV7X,yand****,으뜸서비,2018-11-12,"1,282",443,75382,33,3,220,91%,9%,1725,0.0
389JD,gqvy****,gqv,2008-07-06,"12,696",655,81879,453,0,"2,362",71%,0%,13351,1.0
9ujhf,poke****,참다운,2018-12-31,"1,817","1,102",10851,38,1,180,90%,3%,2919,0.0
2K6YN,nook****,운청산,2006-06-24,"16,278","1,476",292161,61,0,194,83%,0%,17754,1.0
24RIJ,sony****,son,2019-02-28,"10,492",542,135237,132,1,"1,081",82%,1%,11034,1.0
1WUgw,huds****,바람꽃,2006-06-13,"1,784",32,57024,8,0,87,82%,0%,1816,0.0
bhM8g,luck****,newburgman,2018-10-03,641,"1,075",6047,0,0,0,0%,0%,1716,0.0
2ePGP,post****,postan90,2013-01-18,"1,171",14,5084,2,1,0,0%,50%,1185,0.0
1hASs,yeon****,쭈루,2014-06-23,"2,204",296,9772,110,5,407,89%,5%,2500,0.0
1WxsR,hip5****,hip500,2019-05-22,908,0,4880,33,0,15,63%,0%,908,0.0
273lI,csmt****,영웅푸우,2015-06-07,"5,342",585,65108,47,0,99,88%,0%,5927,0.0
2gUDy,hyoj****,ROKMC,2020-05-02,"2,738",250,6838,121,2,290,63%,2%,2988,0.0
z6Z1,pyhs****,구름,2006-08-29,"2,307",145,14429,7,0,27,84%,0%,2452,0.0
1A89K,leey****,lee,2015-09-12,"2,021",498,7510,8,0,6,75%,0%,2519,0.0
87kKt,iban****,JHS,2019-01-02,64,1,86,0,0,0,0%,0%,65,0.0
2HCWq,assa****,100자어항,2014-08-26,125,51,544,1,0,1,100%,0%,176,0.0
1XAZv,vera****,베라0326,2006-08-20,744,5,16378,4,0,4,57%,0%,749,0.0
MGvm,ljah****,ljah337,2006-05-16,"2,730",194,20771,31,0,282,90%,0%,2924,0.0
1X9M4,ufoj****,ufojin,2006-11-08,"9,834","3,984",64558,210,24,396,65%,11%,13818,1.0
eCFR,ubiq****,Fallminam,2006-12-20,"2,805","4,505",31903,27,0,28,93%,0%,7310,0.0
G7bK,cd32****,cd3268,2006-05-27,680,352,8812,0,0,0,0%,0%,1032,0.0
oLa5,shim****,심온,2008-10-27,803,35,2777,8,0,2,67%,0%,838,0.0
7PlJz,sanu****,베엠베,2020-09-15,523,292,1347,5,0,2,100%,0%,815,0.0
1WUL4,delf****,연필부인,2006-04-11,"3,432","1,403",27681,13,1,16,89%,8%,4835,0.0
sW3q,kona****,삼척부동산뱅크,2017-01-06,"1,868",188,7964,2,0,0,0%,0%,2056,0.0
16gPE,suas****,용현예찬맘,2006-07-05,"1,882",285,4958,22,0,60,95%,0%,2167,0.0
1EnPr,umki****,하심,2019-06-11,581,1,1404,0,0,0,0%,0%,582,0.0
3irtC,newd****,아됫어,2007-09-20,7,8,65,0,0,0,0%,0%,15,0.0
221Qu,teen****,알공이,2006-09-28,"1,160",282,19308,9,0,9,69%,0%,1442,0.0
hd2c,gowi****,running,2007-10-01,"2,416",231,22758,0,0,0,0%,0%,2647,0.0
2VYdf,ypzi****,예쁜 돌,2007-08-05,"5,224","1,152",39053,73,0,277,79%,0%,6376,0.0
HV13,goo6****,자연사랑,2006-10-09,"10,444","3,053",33998,194,0,330,64%,0%,13497,1.0
1ysi,chec****,얼룩이,2020-06-05,"5,073",360,15593,304,52,841,65%,17%,5433,0.0
3bIWy,skag****,남세,2017-12-08,"2,055",355,22804,46,2,294,88%,4%,2410,0.0
2nVLw,mars****,우주에살고,2007-03-22,"2,129",453,14746,27,0,25,60%,0%,2582,0.0
15R3Z,rank****,리싱호우,2017-06-23,"3,757",4,38315,5,0,4,80%,0%,3761,0.0
458F,east****,강동우,2020-09-21,"2,418",844,9245,388,21,734,70%,5%,3262,0.0
1d35H,terr****,Machinoid,2010-06-27,"2,108",712,7847,26,0,24,77%,0%,2820,0.0
hjXm,34lh****,협,2012-12-16,444,2,1377,1,0,0,0%,0%,446,0.0
1DRsV,kdkk****,kdk,2007-02-17,931,270,8159,22,0,60,80%,0%,1201,0.0
4PVta,nana****,SJ,2022-01-14,156,65,573,0,0,0,0%,0%,221,0.0
6Ahwu,dkst****,언제쏜다냥,2014-11-29,"7,164","1,577",68673,85,0,178,76%,0%,8741,0.0
euOgG,tlsd****,tls,2022-02-11,150,21,225,20,0,21,91%,0%,171,0.0
1dSTt,puty****,Katherine,2008-10-23,155,112,1748,4,0,9,56%,0%,267,0.0
67xjy,akc1****,akc,2015-05-05,"3,006",62,16014,46,0,112,81%,0%,3068,0.0
2UDVl,bell****,장이,2007-02-14,143,24,757,2,0,40,91%,0%,167,0.0
5QMNb,eigh****,내로남불,2014-04-16,"4,068","2,291",14668,31,1,61,79%,3%,6359,0.0
1JgHZ,khh3****,105동2701해마거사,2007-07-15,"1,957",8,6490,29,0,37,47%,0%,1965,0.0
4kRWe,ourq****,our,2013-05-11,"1,853",598,6586,5,0,9,82%,0%,2451,0.0
2wuAk,iams****,달코미,2006-06-03,"2,393",80,13962,0,0,0,0%,0%,2473,0.0
2usIX,p590****,hades,2006-05-30,"7,785","5,837",110774,55,0,128,60%,0%,13622,1.0
1iKnW,baej****,blue note,2008-04-02,406,8,3379,1,0,0,0%,0%,414,0.0
N9K9,aqua****,북극곰,2006-08-13,"1,326",758,5650,0,0,0,0%,0%,2084,0.0
1JVQQ,kgy5****,kgy5770,2018-10-28,921,55,3288,57,1,124,72%,2%,976,0.0
qwvT,haba****,완소뽕이,2018-03-30,"1,203",17,5029,48,2,250,75%,4%,1220,0.0
2dnan,mapd****,map,2006-06-28,"2,223","1,368",26857,0,0,0,0%,0%,3591,0.0
4urkC,ywg9****,ywg,2020-03-15,"2,440",1,5156,118,0,160,63%,0%,2441,0.0
1OEl8,dart****,I다스베이더I,2006-04-16,"2,058",411,19468,37,2,89,97%,5%,2469,0.0
28ipV,dwch****,dwchang2001,2006-05-18,"5,845",438,31701,0,0,0,0%,0%,6283,0.0
7ks1l,jiaj****,썸원라이크유,2015-09-18,"2,604","1,262",23605,4,0,3,60%,0%,3866,0.0
2xa8B,emai****,hu hu,2012-12-21,"16,270","1,438",370160,1,0,0,0%,0%,17708,1.0
GwRF,mayf****,김삿갓,2018-09-14,14,2,37,0,0,0,0%,0%,16,0.0
bbgYR,shmo****,sunshine,2018-08-25,"4,194",37,23545,58,0,41,47%,0%,4231,0.0
1z4K6,ybg1****,이별공감,2007-08-30,"2,229",18,31787,0,0,0,0%,0%,2247,0.0
2OCIC,khka****,동백섬,2016-12-16,826,2,4725,4,0,14,82%,0%,828,0.0
9jC0O,ciao****,cia,2017-03-13,"15,137","6,918",73905,131,4,444,90%,3%,22055,1.0
32OG5,dhra****,dhraltjssla,2010-11-24,"12,275","6,835",105401,3,0,7,100%,0%,19110,1.0
osjV,jcpa****,Brian,2006-10-27,704,144,4563,0,0,0,0%,0%,848,0.0
3GxXr,yobi****,Yobiwan,2013-11-22,794,34,35198,10,0,27,75%,0%,828,0.0
3nPXX,mash****,아이리스,2013-08-15,793,325,5227,35,1,82,85%,3%,1118,0.0
4JyaH,stan****,pu,2015-12-26,"14,282",519,78574,187,4,"1,860",80%,2%,14801,1.0
2WuX1,mai6****,수,2014-09-25,"7,549","1,693",22075,521,11,706,80%,2%,9242,0.0
1lffE,aegi****,까미,2007-04-27,772,5,1497,10,1,27,96%,10%,777,0.0
20g0w,tamo****,kkmmii,2012-10-09,"6,848","1,451",132659,94,0,640,71%,0%,8299,0.0
2iRsT,autu****,토평,2013-07-09,496,70,4460,1,0,3,100%,0%,566,0.0
envBy,leew****,lee,2021-12-30,112,5,591,1,0,0,0%,0%,117,0.0
2aEgu,bles****,blessedf1,2014-07-20,334,2,1161,10,0,39,51%,0%,336,0.0
3YXa4,wldu****,지영,2021-10-16,251,186,1478,0,0,0,0%,0%,437,0.0
2OmUf,yhs6****,탁배기한잔,2008-06-09,"25,966","11,092",252098,474,2,"4,945",85%,0%,37058,1.0
xmbI,yhpa****,yhpark3927,2008-05-04,"1,075",517,7310,1,0,11,92%,0%,1592,0.0
escqK,hwan****,카사빠보,2022-01-26,341,27,1311,76,5,209,77%,7%,368,0.0
3dZzU,jins****,주주참여,2012-07-19,"17,137",281,163224,206,0,"1,887",73%,0%,17418,1.0
dKTx5,spri****,spr,2022-01-29,"2,018",407,17064,117,4,370,71%,3%,2425,0.0
2EYue,drum****,Stephen J,2006-07-27,957,228,23026,41,1,325,82%,2%,1185,0.0
1nlkw,long****,씽크홀,2006-08-29,"1,105",86,22295,25,0,63,88%,0%,1191,0.0
7MjcW,lbsh****,lbs,2017-05-14,"2,525",229,17749,43,2,97,60%,5%,2754,0.0
2FsUj,kims****,kim,2017-09-28,517,64,2085,45,0,85,62%,0%,581,0.0
2y0Hm,gree****,isetmom,2015-06-12,550,21,2736,2,0,1,100%,0%,571,0.0
3aLzL,cool****,Justin,2007-05-19,"11,355","4,670",66597,8,0,12,86%,0%,16025,1.0
1x0Zs,pds1****,pds,2011-10-18,678,337,6089,0,0,0,0%,0%,1015,0.0
2kkas,brav****,bravo66,2019-01-03,"1,526",12,12754,7,2,18,72%,29%,1538,0.0
24YJ0,shen****,안녕하세요란말부터,2006-10-23,"21,450","1,831",190281,57,5,201,82%,9%,23281,1.0
4fP06,rudg****,rud,2020-12-21,97,15,839,0,0,0,0%,0%,112,0.0
102uj,rad1****,나,2006-07-03,"4,398",740,75414,0,0,0,0%,0%,5138,0.0
3qfyl,6250****,625,2008-02-07,"2,208",169,5877,155,23,310,69%,15%,2377,0.0
M8zp,pilk****,pilkbomb,2013-10-09,"1,493",629,25845,27,2,755,91%,7%,2122,0.0
43ftR,jsni****,jsn,2020-01-30,"1,288",5,4578,3,0,6,55%,0%,1293,0.0
nF41,bruc****,오픈인베스트,2006-04-07,"8,604","1,532",71976,5,0,8,57%,0%,10136,1.0
qZkL,azaa****,찐만두,2012-09-14,"4,886",862,26779,285,2,997,76%,1%,5748,0.0
1rhJW,park****,par,2013-09-26,566,237,88954,9,7,14,88%,78%,803,0.0
